X,Y,year,owner_id,datetaken_dss,gap_lc_code,id,owner,secret,server,farm,title,ispublic,isfriend,isfamily,dateupload,datetaken,datetakengranularity,datetakenunknown,tags,latitude,longitude,accuracy,context,place_id,woeid,geo_is_family,geo_is_friend,geo_is_contact,geo_is_public,url_o,height_o,width_o,url_z,height_z,width_z,site,datetaken_doy,date,month,URL,Hyperlink,is_useful_pheno,has_flower,note
-1882076.953,3124775.565,2012,12139948@N05 7998647805,259,177,7998647805,12139948@N05,33a8e8272a,8300,9,all up on that glacier,1,0,0,1347942783,9/15/12 16:18,0,0,NA,48.82756,-121.6456,15,0,LzhmjoNQUL.eBvLtuw,12590476,0,0,0,1,https://farm9.staticflickr.com/8300/7998647805_6220f8d0ff_o.jpg,1552,2336,https://farm9.staticflickr.com/8300/7998647805_33a8e8272a_z.jpg,425,640,MountBaker,259,9/15/12,9,http://flickr.com/photos/12139948@N05/7998647805,http://flickr.com/photos/12139948@N05/7998647805,Y,N,
-1891740.19,3139829.007,2010,9368841@N07 5236833193,337,178,5236833193,9368841@N07,03b85e8e4d,5047,6,NA,1,0,0,1291618665,12/3/10 18:57,0,0,NA,48.93603,-121.8253,16,0,LzhmjoNQUL.eBvLtuw,12590476,0,0,0,1,https://farm6.staticflickr.com/5047/5236833193_119e35c0b0_o.jpg,3056,4592,https://farm6.staticflickr.com/5047/5236833193_03b85e8e4d_z.jpg,426,640,MountBaker,337,12/3/10,12,http://flickr.com/photos/9368841@N07/5236833193,http://flickr.com/photos/9368841@N07/5236833193,Y,N,
-1891458.142,3136335.616,2015,77076177@N05 18748282085,157,172,18748282085,77076177@N05,58f8333526,8871,9,Smoothly Welcoming,1,0,0,1434142571,6/6/15 11:01,0,0,county longexposure creek pacificnorthwest whatcom whatcomcounty mountbakersnoqualmienationalforest cascadesrange nf33 northcascadesregion,48.90609,-121.809,16,0,LzhmjoNQUL.eBvLtuw,12590476,0,0,0,1,NA,NA,NA,https://farm9.staticflickr.com/8871/18748282085_58f8333526_z.jpg,390,640,MountBaker,157,6/6/15,6,http://flickr.com/photos/77076177@N05/18748282085,http://flickr.com/photos/77076177@N05/18748282085,N,N,
-1886716.652,3129392.324,2015,82016040@N00 22603347352,228,152,22603347352,82016040@N00,858b635cd3,5822,6,"Hayes Lake â€” Whatcom County, Washington",1,0,0,1446240909,8/16/15 13:15,0,0,NA,48.85677,-121.7224,16,0,LzhmjoNQUL.eBvLtuw,12590476,0,0,0,1,https://farm6.staticflickr.com/5822/22603347352_1410614313_o.jpg,1620,2448,https://farm6.staticflickr.com/5822/22603347352_858b635cd3_z.jpg,424,640,MountBaker,228,8/16/15,8,http://flickr.com/photos/82016040@N00/22603347352,http://flickr.com/photos/82016040@N00/22603347352,Y,N,
-1884211.402,3128478.708,2016,83413148@N00 34028324144,232,152,34028324144,83413148@N00,8f57126d2e,4203,5,Bagley Lake and Table Mountain,1,0,0,1495657851,8/19/16 8:23,0,0,bagleylake hiking lake landscape mountbakersnoqualmienationalforest mountain mountains mtbakersnoqualmienationalforest nationalforest northcascades washington water,48.85485,-121.6866,16,0,LzhmjoNQUL.eBvLtuw,12590476,0,0,0,1,https://farm5.staticflickr.com/4203/34028324144_70c6e66c35_o.jpg,3648,5472,https://farm5.staticflickr.com/4203/34028324144_8f57126d2e_z.jpg,427,640,MountBaker,232,8/19/16,8,http://flickr.com/photos/83413148@N00/34028324144,http://flickr.com/photos/83413148@N00/34028324144,Y,N,
-1884404.929,3128392.057,2012,25713527@N04 8072616712,282,177,8072616712,25713527@N04,dda40e99cc,8030,9,Mt. Baker Hiking,1,0,0,1349831805,10/8/12 13:13,0,0,washington scenery unitedstates mtbaker deming,48.85362,-121.6888,16,0,LzhmjoNQUL.eBvLtuw,12590476,0,0,0,1,NA,NA,NA,https://farm9.staticflickr.com/8030/8072616712_dda40e99cc_z.jpg,427,640,MountBaker,282,10/8/12,10,http://flickr.com/photos/25713527@N04/8072616712,http://flickr.com/photos/25713527@N04/8072616712,Y,N,
-1886200.236,3127920.319,2016,33202667@N08 36158896940,226,177,36158896940,33202667@N08,33a04dbbfe,4374,5,"081316_44_Ptarmigan Ridge Hike-Mount Baker, WA",1,0,0,1502678546,8/13/16 13:39,0,0,washington ptarmagan ridge mountbaker,48.84512,-121.7104,16,0,LzhmjoNQUL.eBvLtuw,12590476,0,0,0,1,https://farm5.staticflickr.com/4374/36158896940_0698fc237f_o.jpg,4000,6000,https://farm5.staticflickr.com/4374/36158896940_33a04dbbfe_z.jpg,427,640,MountBaker,226,8/13/16,8,http://flickr.com/photos/33202667@N08/36158896940,http://flickr.com/photos/33202667@N08/36158896940,Y,Y,
-1881569.914,3138706.51,2016,83413148@N00 34931358012,233,177,34931358012,83413148@N00,6cdc581c55,4218,5,Tarn below Yellow Aster Butte,1,0,0,1496598334,8/20/16 11:34,0,0,americanborderpeak borderpeaks canadianborderpeak hiking landscape mountbakersnoqualmienationalforest mtbakersnoqualmienationalforest nationalforest northcascades reflection tarn trail6861 washington water yellowasterbutte yellowasterbuttetrail yellowasterbuttetrail6861,48.95097,-121.6891,16,0,LzhmjoNQUL.eBvLtuw,12590476,0,0,0,1,NA,NA,NA,https://farm5.staticflickr.com/4218/34931358012_6cdc581c55_z.jpg,410,640,MountBaker,233,8/20/16,8,http://flickr.com/photos/83413148@N00/34931358012,http://flickr.com/photos/83413148@N00/34931358012,Y,N,
-1895427.466,3131962.568,2014,37513470@N00 36745956282,229,177,36745956282,37513470@N00,19a1451cc6,4397,5,On the Skyline Divide,1,0,0,1504099105,8/17/14 20:08,0,0,skylinedivide alpineglow mountbaker snowypeak sunset washingtonstate goldenhour deming washington unitedstates us flowers,48.85806,-121.8447,16,0,LzhmjoNQUL.eBvLtuw,12590476,0,0,0,1,NA,NA,NA,https://farm5.staticflickr.com/4397/36745956282_19a1451cc6_z.jpg,427,640,MountBaker,229,8/17/14,8,http://flickr.com/photos/37513470@N00/36745956282,http://flickr.com/photos/37513470@N00/36745956282,Y,Y,
-1884195.171,3128370.431,2015,47328877@N02 20503825230,214,177,20503825230,47328877@N02,3e057d39fa,5766,6,"Mt. Baker Summer Trip - August 1-3, 2015",1,0,0,1439945902,8/2/15 11:54,0,0,nature meadow nationalforest heathermeadows,48.85394,-121.686,16,0,LzhmjoNQUL.eBvLtuw,12590476,0,0,0,1,NA,NA,NA,https://farm6.staticflickr.com/5766/20503825230_3e057d39fa_z.jpg,427,640,MountBaker,214,8/2/15,8,http://flickr.com/photos/47328877@N02/20503825230,http://flickr.com/photos/47328877@N02/20503825230,Y,N,
